Sample Size,cohen_d,data,PmP,AABF,JZSBF,pval,cohenD,matrix
15,0.1,"<tibble[,3]>",0.6087359467748178,1.5558187412235263,0.3545002477935814,0.7845552144743347,0.10079043974777677,dentists_more
15,0.2,"<tibble[,3]>",0.7095436277472409,2.442857845548611,0.38667681335099374,0.585292611163448,0.20158087949555353,dentists_more
15,0.5,"<tibble[,3]>",0.9162266791805503,10.936974566822133,0.7020431323749244,0.17846747610512986,0.5039521987388839,dentists_more
15,0.8,"<tibble[,3]>",0.9863851079268138,72.44898473117102,2.018016491089995,0.03558754463043841,0.8063235179822141,dentists_more
26,0.1,"<tibble[,3]>",0.6414276067044089,1.788837118243079,0.2937350055875296,0.7186715659465488,0.10047765698472944,dentists_more
26,0.2,"<tibble[,3]>",0.765637367404865,3.2668918202822694,0.34553381013382445,0.47210232038796596,0.20095531396945887,dentists_more
26,0.5,"<tibble[,3]>",0.9649594950149651,27.538401499267287,1.055798685708538,0.07608986785187188,0.5023882849236472,dentists_more
26,0.8,"<tibble[,3]>",0.9981235563504264,531.9230111585041,7.657487003899358,0.0055585624599352465,0.8038212558778355,dentists_more
41,0.1,"<tibble[,3]>",0.6751535241950115,2.078377247350281,0.2515255642945003,0.6509228408793438,0.10031352214590951,dentists_more
41,0.2,"<tibble[,3]>",0.8181606159402414,4.499358706974974,0.3292685896739082,0.36640715086200726,0.20062704429181902,dentists_more
41,0.5,"<tibble[,3]>",0.9884248142056704,85.39170184982133,2.0969808672068844,0.0258384389626544,0.5015676107295475,dentists_more
41,0.8,"<tibble[,3]>",0.9998602043654254,7152.299193087174,55.487003463244356,4.923064487355109e-4,0.8025081771672761,dentists_more
85,0.1,"<tibble[,3]>",0.7431072147656925,2.8926745221276557,0.20214127880143673,0.5146781176241487,0.10015865805543789,dentists_more
85,0.2,"<tibble[,3]>",0.9042082691314821,9.43931444742954,0.3650465518623457,0.19336877368521393,0.20031731611087578,dentists_more
85,0.5,"<tibble[,3]>",0.9994522404822292,1824.6186657780804,20.984841295550716,0.001327622571986877,0.5007932902771894,dentists_more
85,0.8,"<tibble[,3]>",0.999999912278457,11399707.260925453,25904.232187988564,5.140620682195407e-7,0.8012692644435031,dentists_more
